id_2	invicta_1985	invicta_1995	invicta_2005	invicta_2015	invicta_2023	nf_veg_1985	area_veg_1985	nf_veg_1995	area_veg_1995	nf_veg_2005	area_veg_2005	nf_veg_2015	area_veg_2015	nf_veg_2022	area_veg_2022	nf_urb_1985	area_urb_1985	nf_urb_1995	area_urb_1995	nf_urb_2005	area_urb_2005	nf_urb_2015	area_urb_2015	nf_urb_2022	area_urb_2022
241	0	4	4	4	4	33	6125955	27	7445822	22	8562008	27	8832983	26	9089915	22	317344	0	0	0	0	0	0	0	0
242	0	0	0	0	0	55	16823594	71	13401541	60	11121340	64	10894376	72	10471017	20	273080	3	62700	6	74253	8	114674	11	273933
291	0	0	0	0	0	34	1860253	37	1996993	34	1913616	38	1901098	45	1996159	4	27513	0	0	0	0	0	0	1	9172
292	0	0	0	1	1	81	9590033	97	6904629	88	6897092	82	7932574	77	8748015	0	0	0	0	2	9965	1	13287	2	18269
344	0	0	0	0	0	161	13504486	147	9861640	140	10751012	140	10913270	132	11489892	11	162279	1	9986	0	0	0	0	5	30789
345	0	0	0	0	0	171	6350121	125	5256218	181	5920777	168	6398888	185	6640057	1	10769	0	0	0	0	2	14916	3	34800
349	0	0	0	0	0	8	56439330	9	53790528	10	51465698	13	51311818	11	51568251	0	0	2	3257	7	9771	37	43143	82	122111
350	0	4	4	4	4	59	5582345	80	7946413	67	13516863	47	14477739	38	15021355	4	20253	0	0	3	11343	1	6483	1	6483
396	0	0	0	0	0	112	4942982	40	622794	29	616144	47	957406	43	1596778	1	13287	0	0	2	6642	3	5813	4	262421
400	0	0	0	2	2	127	3287359	138	3237562	144	3718961	148	3992268	119	4447516	13	55488	3	31824	14	201551	30	396569	63	675642
405	0	0	0	0	1	391	21937661	391	21063776	404	22627668	432	25328065	410	26472377	7	81950	10	369976	13	552969	19	852930	20	961938
406	0	0	0	0	0	74	15542221	88	15772660	79	15290386	74	15549962	102	14505683	4	37197	3	20580	7	98146	5	60949	13	110826
407	0	0	0	0	0	50	1867068	47	1833996	39	1760763	42	1721392	47	1522956	1	788	0	0	0	0	0	0	1	5513
409	0	0	0	0	0	47	7673937	37	7972058	43	7413175	38	7690278	40	7103381	0	0	0	0	0	0	1	20238	3	44369
449	0	1	1	1	1	29	2278392	46	2650385	53	2843442	44	2896463	55	2931297	82	316576	10	75415	15	234533	23	629063	18	872737
450	0	0	0	0	0	60	2527227	93	2883047	58	3534830	95	4641325	85	4862445	0	0	0	0	0	0	0	0	0	0
454	0	0	0	0	0	235	30220120	250	22534498	280	21007417	302	25456302	286	27693070	0	0	0	0	1	14582	6	81010	6	81011
455	0	0	0	0	0	370	8957347	364	7586950	410	8516418	489	11560584	490	12173300	11	29827	0	0	1	8870	5	41119	19	139472
456	0	0	0	2	2	153	47429955	342	26156445	351	19715029	416	21113988	434	20915099	2	8019	0	0	0	0	1	6415	1	8821
457	0	0	0	0	0	465	22488197	513	19167746	463	19127368	539	19309449	511	17898779	12	276914	8	534680	11	938491	20	1729371	14	2021472
459	0	0	0	0	0	194	6539762	202	6280839	180	6445833	161	7056024	140	7779980	6	90805	0	0	2	10265	1	5527	3	21320
502	0	0	0	0	0	77	4259768	63	2823033	56	2385858	96	1872157	102	3462696	17	155609	1	60112	1	60112	1	78228	9	174567
507	0	0	0	1	2	201	13079707	215	11162124	222	11798269	260	13512741	269	14010462	7	56290	2	13672	4	27344	8	80413	21	172091
508	0	0	0	1	1	420	20615895	455	17663724	526	18859079	593	17590175	605	16983819	0	0	0	0	5	13605	11	62410	28	164022
509	0	0	0	0	1	236	10612129	236	9264579	214	9096660	237	9087069	274	9564552	7	31832	1	796	7	51730	11	89133	24	152800
510	0	0	0	0	1	183	15778409	194	15086523	189	15494911	179	15267688	170	15262921	15	149641	2	100556	11	283443	17	345988	29	516992
553	0	0	0	0	0	58	22732029	28	19706769	25	19543560	16	19703470	21	19880783	0	0	0	0	0	0	0	0	2	10772
559	0	0	0	0	2	77	58699996	116	47600579	86	51819688	112	53264458	123	52698570	3	15323	0	0	3	33864	5	58050	9	67723
560	0	0	0	0	0	189	19369881	166	18331818	178	17985000	151	18031478	158	17784351	8	97053	4	20048	4	37690	4	49721	3	41703
561	0	0	0	10	10	296	27842753	320	26711918	325	29775304	410	29684915	427	29328166	16	177193	3	160445	14	292117	17	391078	54	559461
562	0	0	0	0	0	421	19004661	383	17928279	421	17871279	420	16588772	396	16510975	12	55563	0	0	8	53189	16	123044	31	207985
565	0	0	0	2	2	272	42766778	560	36373030	443	39918321	484	40478127	556	41067503	0	0	1	9368	1	15613	3	32006	3	28884
569	1	3	3	3	3	0	0	0	0	0	0	0	0	0	0	27	361813	10	95200	7	152321	25	521701	28	568177
604	0	0	0	0	0	39	1022144	42	1134246	52	1385026	69	2014440	78	2337456	26	110443	6	30723	12	48157	0	0	4	48998
606	0	14	15	15	15	71	2430399	59	2250923	66	2428801	137	3290894	152	3842595	16	476744	3	686726	9	1043252	20	1665722	54	2331766
608	0	0	0	0	0	307	9948048	305	9251399	356	9732101	378	9461224	396	9522506	8	66096	7	35087	7	89758	6	95473	19	149322
611	0	0	0	0	0	150	53476025	198	51497928	326	45392774	221	47351972	208	46371758	0	0	0	0	0	0	0	0	1	5631
612	0	0	0	0	0	222	41272121	210	40277568	220	39761598	186	40057713	145	40145656	7	72804	0	0	3	44801	4	32001	3	30401
616	0	0	0	0	2	290	40021560	449	33291342	390	36961961	391	40638816	435	38424750	10	425733	10	600255	9	856175	14	1085489	11	1261588
619	0	0	0	0	0	11	4134068	7	4459245	7	4383913	6	4506905	6	4344713	21	270669	7	43823	8	69196	9	98419	9	113801
654	0	0	0	0	0	47	4715886	38	4520458	33	4612720	58	4943200	92	5545340	0	0	0	0	0	0	0	0	1	4195
655	0	0	0	0	0	52	3263260	43	3298434	58	3805605	55	4192476	86	5547711	1	6683	0	0	0	0	0	0	0	0
659	0	0	0	0	0	227	19166998	182	16512025	203	16987028	227	18318748	192	19413009	5	46007	0	0	3	26290	3	23003	15	78867
661	0	0	0	0	0	243	38640021	332	20105648	328	20918941	370	20406208	408	21632057	0	0	0	0	0	0	0	0	1	5699
662	0	0	0	0	1	202	48398307	253	45359577	254	44901999	297	43079701	317	40409278	3	51832	1	17817	3	17007	2	13768	3	31588
664	0	0	0	0	2	158	59355751	209	55406572	221	53428978	183	53396423	170	55347443	0	0	2	9627	3	32892	1	8022	3	10431
665	0	0	0	0	0	446	25036320	419	25272609	387	28056769	463	29271523	474	27894206	8	18357	0	0	9	45490	7	64642	18	118899
668	0	1	1	1	1	256	44397784	226	46351774	220	47284395	255	47590864	259	46410860	7	47098	2	17276	4	33767	7	85589	16	172722
669	5	5	5	5	5	233	52188269	303	47138290	359	44290815	399	43661921	485	40615445	23	277132	22	386424	34	774387	44	1059291	81	1547163
670	0	0	0	2	2	7	143555	10	137350	9	124162	9	127266	6	142011	14	2709285	16	2488111	21	4072206	16	4954603	20	5015793
